appid,category
3560,Single-player
3570,Single-player
3580,Single-player
3590,Single-player
3590,Steam Achievements
3600,Single-player
3610,Single-player
3620,Single-player
3620,Steam Achievements
3620,Stats
3700,Single-player
3700,Steam Trading Cards
3710,Single-player
3710,Multi-player
3710,Co-op
3720,Single-player
3730,Single-player
3730,Multi-player
3800,Single-player
3800,Steam Trading Cards
3810,Single-player
3810,Steam Trading Cards
3820,Single-player
3820,Steam Trading Cards
3830,Single-player
3830,Steam Achievements
3830,Steam Trading Cards
3830,Partial Controller Support
3830,Steam Cloud
3900,Single-player
3900,Multi-player
3900,Includes level editor
3910,Single-player
3910,Multi-player
3910,Includes level editor
3920,Single-player
3960,Single-player
3960,Multi-player
3980,Single-player
3990,Single-player
4000,Single-player
4000,Multi-player
4000,Co-op
4000,Cross-Platform Multiplayer
4000,Steam Achievements
4000,Steam Trading Cards
4000,Captions available
4000,Steam Workshop
4000,Steam Cloud
4000,Valve Anti-Cheat enabled
4000,Includes level editor
4100,Single-player
4230,Single-player
4230,Multi-player
4290,Single-player
4290,Multi-player
4300,Single-player
4300,Partial Controller Support
4300,Includes level editor
4420,Single-player
4460,Single-player
4470,Single-player
4470,Multi-player
4500,Single-player
4500,Multi-player
4520,Single-player
4520,Multi-player
4520,Co-op
4530,Single-player
4530,Multi-player
4530,Co-op
4560,Single-player
4560,Multi-player
4560,Steam Trading Cards
4560,Steam Workshop
4560,Steam Cloud
4570,Single-player
4570,Multi-player
4570,Steam Trading Cards
4570,Steam Cloud
4580,Single-player
4580,Multi-player
4580,Steam Cloud
4700,Single-player
4700,Multi-player
4700,Steam Trading Cards
4720,Single-player
4760,Single-player
4760,Multi-player
4760,Steam Trading Cards
4770,Single-player
4770,Multi-player
4780,Single-player
4780,Multi-player
4800,Single-player
4800,Multi-player
4850,Single-player
4850,Multi-player
4870,Single-player
4880,Single-player
4890,Single-player
4890,Multi-player
4890,Online Multi-Player
4890,Local Multi-Player
4900,Single-player
4920,Multi-player
4920,Online Multi-Player
4920,Steam Achievements
4920,Steam Trading Cards
4920,Steam Workshop
4920,Steam Cloud
4920,Valve Anti-Cheat enabled
4920,Includes level editor
6000,Single-player
6000,Multi-player
6000,Local Multi-Player
6000,Steam Cloud
6010,Single-player
6010,Steam Cloud
6020,Single-player
6020,Online Multi-Player
6020,Local Multi-Player
6020,Partial Controller Support
6020,Steam Cloud
6030,Single-player
6030,Online Multi-Player
6030,Local Multi-Player
6030,Partial Controller Support
6030,Steam Cloud
6040,Single-player
6040,Steam Cloud
6060,Single-player
6060,Multi-player
6060,Online Multi-Player
6060,Partial Controller Support
6060,Steam Cloud
6080,Single-player
6080,Local Multi-Player
6080,Co-op
6080,Local Co-op
6080,Shared/Split Screen
6080,Partial Controller Support
6080,Steam Cloud
6090,Single-player
6090,Steam Cloud
6120,Single-player
6120,Shared/Split Screen
6120,Steam Achievements
6120,Full controller support
6120,Steam Cloud
6200,Single-player
6210,Single-player
6220,Single-player
6220,Multi-player
6250,Single-player
6250,Multi-player
6270,Single-player
6270,Multi-player
6300,Single-player
6310,Single-player
6370,Single-player
6370,Multi-player
6370,MMO
6400,Single-player
6400,Multi-player
6400,Co-op
6400,Shared/Split Screen
6420,Single-player
6420,Multi-player
6420,Includes level editor
6510,Single-player
6510,Multi-player
6510,Partial Controller Support
6510,Valve Anti-Cheat enabled
6550,Single-player
6550,Partial Controller Support
6800,Single-player
6800,Multi-player
6800,Co-op
6810,Single-player
6810,Multi-player
6810,Co-op
6830,Single-player
6830,Multi-player
6830,Co-op
6840,Single-player
6840,Multi-player
6840,Co-op
6850,Single-player
6860,Single-player
6870,Single-player
6880,Single-player
6900,Single-player
6910,Single-player
