,appid,steamspy_tags
336,3830,Adventure
337,3900,Strategy
338,3900,Turn-Based Strategy
339,3900,Turn-Based
340,3910,Strategy
341,3910,Turn-Based Strategy
342,3910,Turn-Based
343,3920,Pirates
344,3920,Open World
345,3920,RPG
346,3960,Strategy
347,3960,Turn-Based Strategy
348,3980,Strategy
349,3980,City Builder
350,3980,Simulation
351,3990,Strategy
352,3990,Turn-Based
353,3990,4X
354,4000,Sandbox
355,4000,Multiplayer
356,4000,Funny
357,4100,Card Game
358,4230,Racing
359,4230,Simulation
360,4290,Racing
361,4290,Simulation
362,4300,Action
363,4300,Indie
364,4300,Puzzle
365,4420,RPG
366,4420,Hack and Slash
367,4420,Action RPG
368,4460,Simulation
369,4460,Strategy
370,4460,City Builder
371,4470,RPG
372,4470,Hack and Slash
373,4470,Action RPG
374,4500,Atmospheric
375,4500,Post-apocalyptic
376,4500,Open World
377,4520,Strategy
378,4520,Action
379,4520,Tactical
380,4530,Strategy
381,4530,Action
382,4530,Tactical
383,4560,Strategy
384,4560,RTS
385,4560,World War II
386,4570,Strategy
387,4570,Warhammer 40K
388,4570,RTS
389,4580,Strategy
390,4580,Warhammer 40K
391,4580,RTS
392,4700,Strategy
393,4700,Medieval
394,4700,Historical
395,4720,Horror
396,4720,Action
397,4720,Atmospheric
398,4760,Strategy
399,4760,Historical
400,4760,Rome
401,4770,Strategy
402,4770,RTS
403,4770,Historical
404,4780,Strategy
405,4780,Medieval
406,4780,Historical
407,4800,Strategy
408,4800,RTS
409,4800,RPG
410,4850,Strategy
411,4850,RTS
412,4850,Classic
413,4870,Strategy
414,4870,RTS
415,4870,Historical
416,4880,Strategy
417,4880,RTS
418,4880,Historical
419,4890,Strategy
420,4890,RTS
421,4890,Historical
422,4900,Casual
423,4900,Indie
424,4900,Puzzle
425,4920,Multiplayer
426,4920,Strategy
427,4920,FPS
428,6000,Star Wars
429,6000,Action
430,6000,FPS
431,6010,Adventure
432,6010,Point & Click
433,6010,Classic
434,6020,Star Wars
435,6020,Action
436,6020,Sci-fi
437,6030,Star Wars
438,6030,Action
439,6030,Classic
440,6040,Adventure
441,6040,Point & Click
442,6040,Sci-fi
443,6060,Star Wars
444,6060,Action
445,6060,Multiplayer
446,6080,Simulation
447,6080,Strategy
448,6080,Action
449,6090,Action
450,6090,Comedy
451,6090,Third-Person Shooter
452,6120,Action
453,6120,Indie
454,6120,Beat 'em up
455,6200,Strategy
456,6200,Comedy
457,6200,Puzzle
458,6210,Strategy
459,6210,Simulation
460,6210,Management
461,6220,Racing
462,6220,Destruction
463,6220,Driving
464,6250,Strategy
465,6250,Action
466,6250,Grand Strategy
467,6270,Racing
468,6270,Simulation
469,6300,Adventure
470,6300,Female Protagonist
471,6300,Story Rich
472,6310,Adventure
473,6310,Point & Click
474,6310,Female Protagonist
475,6370,Free to Play
476,6370,Action
477,6370,MOBA
478,6400,Strategy
479,6400,Action
480,6400,RTS
481,6420,Strategy
482,6420,Space
483,6420,Sci-fi
484,6510,Action
485,6510,Adventure
486,6510,Third-Person Shooter
487,6550,Action
488,6550,Hack and Slash
489,6550,Great Soundtrack
490,6800,Strategy
491,6800,Stealth
492,6800,Action
493,6810,Action
494,6810,Strategy
495,6810,Tactical
496,6830,Strategy
497,6830,Tactical
498,6830,Stealth
499,6840,Strategy
500,6840,Action
501,6840,Tactical
502,6850,Stealth
503,6850,Action
504,6850,Third Person
505,6860,Stealth
506,6860,Action
507,6860,Third Person
508,6870,Action
509,6870,World War II
510,6870,Naval
511,6880,Action
512,6880,Open World
513,6880,Shooter
514,6900,Stealth
515,6900,Action
516,6900,Classic
517,6910,Cyberpunk
518,6910,RPG
519,6910,Stealth
520,6920,Cyberpunk
521,6920,Action
522,6920,FPS
523,6980,Stealth
524,6980,Atmospheric
525,6980,Action
526,7000,Adventure
527,7000,Action
528,7000,Female Protagonist
529,7010,Action
530,7010,FPS
531,7010,Cyberpunk
532,7020,Action
533,7020,Third-Person Shooter
534,7020,Sci-fi
535,7110,RPG
536,7110,Fantasy
537,7110,Story Rich
538,7200,Racing
539,7200,Multiplayer
540,7200,Level Editor
541,7210,Adventure
542,7210,Point & Click
543,7210,Mystery
544,7220,Adventure
545,7220,Point & Click
546,7220,Mystery
547,7260,RPG
548,7260,Hack and Slash
549,7260,Action
550,7340,Casual
551,7340,Indie
552,7340,Puzzle
