appid,genres
16130,Casual;Simulation
16180,Casual;Simulation
16200,Casual;Simulation
16450,Action
16500,Casual;Indie
16600,Indie;Racing;Sports
16620,Indie;Racing;Sports
16710,Action;Adventure
16720,Action
16730,Action
16810,Strategy
16900,Action;Indie;Early Access
17080,Action;Free to Play
17100,Strategy;Simulation
17120,Strategy;Simulation
17140,RPG;Strategy
17180,Strategy
17300,Action
17330,Action
17390,Simulation
17410,Action;Adventure
17430,Action;Racing
17440,Simulation
17450,RPG
17460,Action;RPG
17470,Action
17480,Strategy
17500,Action;Free to Play;Indie
17570,Action;Free to Play;Indie
17710,Action;Strategy
17740,Action;Free to Play;Strategy
18000,Adventure;RPG
18020,Adventure;RPG
18040,Action;Indie;RPG
18050,Action;RPG;Indie
18070,Action;Adventure;RPG
18120,Action;Casual;Indie;Strategy
18300,Casual;Indie
18400,Casual;Strategy
18420,Casual;Strategy
18470,Strategy
18480,Adventure
18500,Indie;Strategy
18600,Indie;Strategy
18700,Action;Indie
18820,Action;Indie;Racing;Sports
19000,Adventure
19020,Casual;RPG
19030,Action;Adventure
19080,Action;Adventure;Casual
19200,Action;Indie
19320,Action;Indie;Casual
19500,Adventure;Indie
19800,Action
19830,Action
19900,Action
19980,Action;Adventure
20200,Indie;Casual;Sports
20510,Action;RPG
20530,Action
20540,Strategy
20550,Action;Strategy
20570,Strategy
20700,Action;Indie;Strategy
20710,Action;Indie;Strategy
20820,Action;Indie
20900,Action;RPG
20920,RPG
21000,Action;Adventure
21010,Action
21030,Action
21090,Action
21100,Action
21130,Action;Adventure
21300,Indie;Casual
21400,Strategy;Action;Indie
21500,Racing
21640,Casual;Strategy
21660,Action
21670,Action;Adventure
21680,Action
21690,Action;Adventure
21780,Racing
21800,Strategy
21980,Action
22000,Indie
22100,Indie;RPG
22120,Nudity;Gore;Action;Adventure;Indie
22130,Strategy
22180,Gore;Action;Adventure;Indie
22200,Action;Indie
22230,Action;Indie;Racing;Strategy
22300,RPG
22310,Action
22320,RPG
22330,RPG
22350,Action;Free to Play
22370,RPG
22380,Action;RPG
22450,Action;Adventure
22500,Strategy
22600,Strategy
22610,Action
22650,Action
22670,Action
23150,Casual;Indie
23300,Casual
23380,RPG
23400,Simulation;Strategy
23420,Strategy
23450,Simulation;Strategy
23460,Action;Adventure;Strategy
23490,Simulation;Strategy
23500,Casual;RPG
23530,Action
23600,Indie;RPG;Strategy
23700,Casual
24010,Simulation
24200,Action;Adventure;Free to Play;Massively Multiplayer;RPG
24240,Action
24400,RPG;Strategy
24410,Strategy
24420,Indie
24460,RPG;Strategy
24480,RPG;Strategy
24640,Simulation
24650,Simulation
24670,Simulation
24720,Action;Simulation
24740,Racing
24780,Simulation;Strategy
24790,Strategy
24800,Strategy
24810,Strategy
24840,Action
24870,Racing
24960,Action
24980,RPG
25000,Action;Indie
25010,Action
25500,Indie;Simulation;Sports
25600,Indie;RPG
25620,Indie;RPG
25700,Indie
25800,Strategy
25830,Strategy
25850,RPG;Strategy
25890,Strategy
25900,RPG;Strategy
25910,Strategy
25930,Strategy
25980,Simulation;Strategy
25990,Strategy;Simulation
26000,Action;Indie
26300,Action;Indie
26800,Casual;Indie;Strategy
26900,Casual;Indie
27000,Adventure;Indie
27020,Indie;Simulation
27050,Adventure;Casual;Indie
27200,Sports
27330,Action
27400,RPG;Indie;Casual
27600,Indie;Casual
27800,Indie
27810,Indie
27900,Action;Adventure
27920,Action;Indie
27940,Action;Indie
28000,Action
29120,Indie;Casual
29130,Indie;Casual
29160,Adventure;Indie
29180,Indie;Casual
29800,Action;Adventure;Casual;Indie;RPG;Strategy
29900,Action
31270,Adventure;Casual
31300,Action
31800,Adventure
31810,Adventure
31820,Adventure
31830,Adventure
31840,Adventure
31850,Adventure
31860,Adventure
31870,Adventure;Casual
31880,Adventure
31890,Action
31900,Adventure
31910,Adventure
31920,Adventure
31930,Adventure
31980,Adventure
32000,Indie;Casual
32110,Casual
32120,Casual
32140,Adventure;Casual
32150,Casual;Indie;Strategy
32160,Sports;Casual
32200,Action;Indie;Racing;Sports
32310,Adventure
32330,Action;Adventure
32340,Adventure
32350,Action;Simulation
32360,Adventure
32370,Adventure;RPG
32380,Action
32390,Action
32400,Action
32410,Casual
32420,Action
32430,Action
32440,Adventure
32450,Adventure
32460,Adventure
32470,Strategy
32500,Action
32510,Action;Adventure
32610,Action
32620,Action
32630,Action
32640,Action
32650,Action
32660,Action
32670,Action
32680,Action
32710,Simulation
32720,Simulation
32730,Simulation
32740,Simulation
32750,Action;Simulation
32760,Simulation
32770,Action
32900,Casual;Indie;Simulation;Strategy
33100,Action;Indie;RPG
33110,Action;Indie;RPG
33120,Action;Indie;RPG
33130,Action;Indie;RPG
33180,Action;Indie;RPG
33230,Action;Adventure
33320,Action;Adventure
33390,Action;Indie
33460,Adventure;Simulation
33520,Simulation;Strategy
33570,RPG;Simulation;Strategy
33600,Adventure
33610,Adventure
33620,Action;Racing
33650,Casual
33660,Casual;Indie
