,appid,positive_ratings,negative_ratings,average_playtime,median_playtime,owners
7062,410040,2,8,0,0,10000
7063,410050,5,4,0,0,10000
7064,410110,3192,576,228,303,750000
7065,410120,23,8,0,0,10000
7066,410130,26,14,0,0,10000
7067,410150,35,3,0,0,10000
7068,410210,319,680,232,221,350000
7069,410290,43,10,0,0,10000
7070,410320,4325,267,915,1708,350000
7071,410330,7,3,0,0,10000
7072,410340,924,134,0,0,75000
7073,410370,8,1,0,0,10000
7074,410380,1055,580,2180,4344,350000
7075,410390,96,57,0,0,35000
7076,410430,414,138,0,0,35000
7077,410440,34,7,0,0,10000
7078,410470,12,4,0,0,10000
7079,410490,15,17,0,0,10000
7080,410540,5,4,0,0,10000
7081,410550,7,3,0,0,10000
7082,410570,153,34,40,40,10000
7083,410670,571,81,23,23,75000
7084,410710,626,76,0,0,350000
7085,410770,17,7,0,0,10000
7086,410820,380,25,0,0,75000
7087,410830,78,12,0,0,10000
7088,410840,182,50,0,0,35000
7089,410850,698,327,0,0,75000
7090,410890,318,10,390,390,35000
7091,410900,2073,549,1661,869,350000
7092,410910,22,4,0,0,10000
7093,410970,74,10,333,333,75000
7094,410980,350,13,54,54,75000
7095,410990,26,34,0,0,150000
7096,411000,235,38,0,0,75000
7097,411060,13,2,0,0,10000
7098,411070,3,2,0,0,10000
7099,411080,206,54,0,0,35000
7100,411120,173,29,297,297,75000
7101,411130,35,24,0,0,10000
7102,411300,7388,2427,1932,2218,750000
7103,411310,112,14,0,0,35000
7104,411320,65,7,0,0,10000
7105,411330,157,71,0,0,35000
7106,411370,1205,117,0,0,75000
7107,411390,15,2,0,0,10000
7108,411480,92,77,78,116,150000
7109,411520,7,7,0,0,10000
7110,411530,12,3,0,0,10000
7111,411540,112,58,0,0,10000
7112,411560,1081,194,20,39,150000
7113,411570,118,13,0,0,10000
7114,411590,67,14,0,0,10000
7115,411600,37,21,0,0,10000
7116,411610,42,5,0,0,10000
7117,411620,20,13,0,0,10000
7118,411630,7,7,0,0,10000
7119,411680,60,11,0,0,10000
7120,411690,17,6,0,0,10000
7121,411720,8,1,0,0,10000
7122,411740,51,12,373,392,75000
7123,411750,37,10,0,0,10000
7124,411760,272,48,477,477,35000
7125,411820,130,11,0,0,75000
7126,411830,2991,160,1228,1381,150000
7127,411860,1,1,0,0,35000
7128,411870,18,0,0,0,10000
7129,411880,29,1,0,0,10000
7130,411960,1676,26,117,117,75000
7131,411970,337,11,0,0,10000
7132,411980,64,1,0,0,10000
7133,412010,21,13,0,0,10000
7134,412050,325,59,0,0,35000
7135,412130,151,93,206,235,150000
7136,412140,1139,143,12,14,150000
7137,412150,208,33,249,250,75000
7138,412170,207,64,253,265,350000
7139,412210,15,16,253,257,350000
7140,412230,43,12,0,0,10000
7141,412270,74,11,0,0,10000
7142,412290,23,46,248,268,150000
7143,412310,188,76,0,0,35000
7144,412360,15,3,0,0,10000
7145,412370,10,6,0,0,10000
7146,412380,30,17,383,383,10000
7147,412400,293,1159,6,6,350000
7148,412410,32,23,0,0,10000
7149,412440,4,4,0,0,10000
7150,412450,1134,756,139,139,35000
7151,412460,144,130,0,0,10000
7152,412470,438,361,76,78,350000
7153,412480,36,2,0,0,10000
7154,412490,20,13,0,0,10000
7155,412520,244,65,0,0,75000
7156,412530,10,1,0,0,10000
7157,412540,16,6,0,0,10000
7158,412560,0,2,0,0,10000
7159,412600,149,186,232,226,750000
7160,412620,107,8,0,0,10000
7161,412640,2,1,0,0,10000
7162,412660,80,19,0,0,10000
7163,412670,231,6,0,0,10000
7164,412730,51,89,0,0,35000
7165,412740,2080,426,40,40,150000
7166,412760,9,0,0,0,10000
7167,412770,297,54,59,59,35000
7168,412790,105,36,0,0,35000
7169,412830,5720,130,2628,5223,150000
7170,412880,1899,977,146,259,150000
7171,412930,14,1,0,0,10000
7172,412970,9,6,0,0,10000
7173,413030,54,37,0,0,10000
7174,413040,3,2,0,0,10000
7175,413150,118217,3761,2868,1728,3500000
7176,413350,0,2,0,0,10000
7177,413410,5714,167,1636,1880,350000
7178,413420,4677,148,1909,2068,350000
7179,413470,9,4,0,0,10000
7180,413480,28,6,0,0,10000
7181,413490,6,5,0,0,10000
7182,413500,60,8,0,0,10000
7183,413510,23,16,0,0,10000
7184,413540,14,0,0,0,35000
7185,413580,15,0,0,0,10000
7186,413620,6,11,0,0,10000
7187,413680,151,69,0,0,35000
7188,413700,18,1,0,0,10000
7189,413710,548,379,0,0,75000
7190,413740,21,17,0,0,10000
7191,413760,14,20,0,0,10000
7192,413830,10,6,0,0,10000
7193,413870,97,7,182,182,10000
7194,414060,10,10,0,0,10000
7195,414070,250,173,279,269,350000
7196,414080,339,132,338,340,75000
7197,414090,11,6,0,0,10000
7198,414120,141,15,484,484,35000
7199,414140,1,4,0,0,10000
7200,414190,256,63,0,0,35000
7201,414260,28,10,0,0,10000
7202,414290,955,167,368,397,750000
7203,414330,9,18,0,0,10000
7204,414340,20227,1805,455,477,750000
7205,414370,56,4,0,0,10000
7206,414470,16,11,0,0,10000
7207,414490,30,1,0,0,10000
7208,414500,1,11,0,0,10000
7209,414510,249,42,0,0,35000
7210,414530,1270,946,561,729,750000
7211,414550,117,71,0,0,10000
7212,414580,111,224,185,197,350000
7213,414660,283,46,0,0,75000
7214,414700,10790,1563,277,238,750000
7215,414720,291,50,427,427,75000
7216,414730,438,212,31,49,150000
7217,414740,888,806,279,279,35000
7218,414760,15,1,0,0,10000
7219,414770,1,2,0,0,10000
7220,414810,8,1,0,0,10000
7221,414870,374,76,0,0,35000
7222,414920,207,57,0,0,35000
7223,414950,102,39,0,0,75000
7224,415000,44,0,0,0,10000
7225,415030,409,117,53,80,75000
7226,415080,33,50,0,0,10000
7227,415090,21,2,0,0,10000
7228,415150,131,30,2,2,35000
7229,415170,244,10,0,0,35000
7230,415180,30,2,0,0,10000
7231,415200,4278,488,4289,4289,350000
7232,415240,94,27,0,0,10000
7233,415270,1479,344,82,82,150000
7234,415300,197,64,40,40,10000
7235,415330,4,1,0,0,10000
7236,415350,500,57,141,141,75000
7237,415390,18,4,0,0,10000
7238,415400,157,29,0,0,10000
7239,415420,1394,106,0,0,35000
7240,415480,571,126,255,255,75000
7241,415530,10,2,0,0,10000
7242,415590,1171,592,85,85,75000
7243,415600,62,21,0,0,10000
7244,415610,387,26,0,0,35000
7245,415660,859,552,9,14,350000
7246,415670,65,5,0,0,10000
7247,415740,195,48,0,0,35000
7248,415830,84,11,337,340,75000
7249,415840,86,46,306,306,75000
7250,415850,251,48,207,207,10000
7251,415860,572,592,39,39,350000
7252,415880,1015,354,149,149,35000
7253,415890,13,9,0,0,10000
7254,415900,3,0,0,0,10000
7255,415910,49,7,0,0,10000
7256,415920,112,4,0,0,10000
7257,415950,130,106,0,0,10000
7258,415960,167,52,216,223,350000
7259,415980,6,2,0,0,10000
7260,415990,21,4,0,0,10000
7261,416000,88,5,0,0,10000
7262,416020,86,123,0,0,10000
7263,416030,74,55,112,160,35000
7264,416040,87,120,226,272,150000
7265,416070,19,19,0,0,10000
7266,416080,331,181,330,338,150000
7267,416090,4,2,0,0,10000
7268,416110,88,12,0,0,10000
7269,416120,5,0,0,0,10000
7270,416140,7,12,0,0,10000
7271,416160,1,2,0,0,10000
7272,416170,88,177,121,124,75000
7273,416180,34,4,0,0,10000
7274,416190,51,14,0,0,10000
7275,416200,21,18,7,7,35000
7276,416210,707,248,368,381,75000
7277,416240,71,7,0,0,10000
7278,416250,23,6,0,0,10000
7279,416290,22,26,277,280,35000
7280,416310,49,32,196,247,35000
7281,416320,59,10,0,0,35000
7282,416330,5,6,0,0,10000
7283,416340,15,4,0,0,10000
7284,416350,28,33,0,0,35000
7285,416360,78,3,0,0,10000
7286,416370,44,34,352,355,35000
7287,416380,85,26,0,0,10000
7288,416390,3,3,0,0,10000
7289,416430,5,4,0,0,10000
7290,416450,250,148,346,650,150000
7291,416530,53,6,145,145,10000
7292,416550,132,13,0,0,10000
7293,416590,914,222,36,36,150000
7294,416600,963,94,637,637,75000
7295,416610,39,21,218,227,75000
7296,416630,51,59,521,521,35000
7297,416640,93,23,0,0,10000
7298,416670,176,148,0,0,75000
7299,416680,1140,86,143,143,150000
7300,416690,811,76,91,91,150000
7301,416700,15,4,0,0,10000
7302,416720,23,16,0,0,10000
7303,416760,74,47,4,4,10000
7304,416770,555,46,388,388,35000
7305,416790,224,25,0,0,35000
7306,416800,35,15,0,0,10000
7307,416830,49,6,0,0,10000
7308,416840,4,1,0,0,10000
7309,416850,12,4,0,0,10000
7310,416870,51,2,0,0,10000
